										
237	SONARBAINS	25.4	26.1	25	25.6	24.8	0.6	300	5.9350	231,904
238	HRTEX	26.7	27.2	26.7	26.7	26.7	0	335	5.9010	219,430
239	ABB1STMF	3.8	3.9	3.8	3.8	3.8	0	149	5.8520	1,539,098
240	BGIC	31.8	32.1	30.6	31.8	30.8	1	390	5.8290	183,630
241	FORTUNE	17	17.2	16.9	17	17.1	-0.1	445	5.7540	337,674
242	GREENDELT	49	49.3	47.3	49	47.3	1.7	335	5.6670	116,846
243	PRIMEFIN	4.8	4.8	4.5	4.8	4.4	0.4	281	5.6050	1,172,497
244	GIB	3.1	3.2	3	3.1	3.1	0	260	5.5420	1,817,038
245	IFIC1STMF	3.8	3.9	3.7	3.8	3.8	0	83	5.4060	1,422,735
246	WMSHIPYARD	8.8	9.1	8.7	8.8	9	-0.2	391	5.2170	589,412
247	POWERGRID	35.1	35.5	35	35.1	35	0.1	158	5.0900	145,178
248	AOL	15.4	15.5	15.1	15.4	15.2	0.2	131	5.0400	327,724
249	ALARABANK	17.8	18.7	17.2	17.8	17.2	0.6	216	5.0020	279,117
250	YPL	15.5	15.7	15	15.5	15	0.5	270	4.8790	317,020
251	PF1STMF	5.6	5.7	5.5	5.6	5.5	0.1	156	4.8770	874,217
252	PHPMF1	3.5	3.6	3.4	3.5	3.5	0	148	4.8540	1,386,780
253	AMANFEED	24.8	25.1	24.7	24.8	24.9	-0.1	209	4.8410	194,754
254	MATINSPINN	46.7	47.4	46.4	46.7	47.2	-0.5	253	4.7730	101,750
255	BDAUTOCA	103.1	105.9	101	103.1	104.4	-1.3	426	4.7650	45,896
256	HAMI	101.2	102	100.4	101.2	102.2	-1	283	4.6910	46,317
257	SHASHADNIM	17.8	18.2	17.7	17.8	17.8	0	179	4.6540	260,508
258	TAKAFULINS	35.3	35.5	34	35.3	34.4	0.9	152	4.6460	132,803
259	BDFINANCE	11.3	11.5	11.1	11.4	11.1	0.2	316	4.5690	401,956
260	MIRACLEIND	28.4	29.9	28.1	28.3	29	-0.6	223	4.4610	155,837
261	VAMLBDMF1	7.1	7.1	7	7.1	7.1	0	35	4.1620	586,162
262	DACCADYE	16.9	17.1	16.5	16.5	16.7	0.2	191	4.1020	246,892
263	PLFSL	2.2	2.2	2	2.2	2	0.2	221	4.0950	1,894,472
264	KPCL	11.7	11.9	11.6	11.7	11.7	0	271	4.0510	345,808
265	RELIANCE1	17.5	17.9	17.5	17.5	17.7	-0.2	155	4.0470	230,410
266	TAMIJTEX	119	123	118	119	120.4	-1.4	231	3.9590	33,150
267	AAMRANET	19.3	19.6	19.3	19.3	19.4	-0.1	249	3.8990	200,618
268	ARAMIT	196	205	195.2	196	198.1	-2.1	424	3.8380	19,309
269	AIBL1STIMF	5.8	5.8	5.7	5.8	5.7	0.1	165	3.7980	661,602
270	NAVANACNG	22.8	23.1	22.1	22.5	22.9	-0.1	185	3.7480	164,471
271	LRBDL	15	15.2	14.9	15	15.1	-0.1	191	3.7190	247,637
272	PROGRESLIF	50.2	50.7	45.9	50.2	46.1	4.1	333	3.7150	74,874
273	APEXFOODS	219.2	226.5	218.5	219.2	222.1	-2.9	295	3.5430	16,060
274	ARAMITCEM	13.4	14	12.8	13.2	13.4	0	252	3.4780	259,617
275	EBL1STMF	4.7	4.8	4.6	4.7	4.7	0	133	3.4190	727,272
276	EMERALDOIL	22.4	22.7	22.4	22.4	22.7	-0.3	207	3.3430	148,748
277	ISLAMIINS	39.5	39.9	38.1	39.5	38.1	1.4	206	3.2730	83,378
278	AGRANINS	25.3	25.6	24.8	25.3	24.8	0.5	208	3.2630	128,560
279	NITOLINS	26.4	26.5	26.2	26.4	25.8	0.6	117	3.2290	122,361
280	JMISMDL	143.9	148	143.7	143.9	146.7	-2.8	254	3.1470	21,697
281	KEYACOSMET	4.9	5	4.8	4.8	5	-0.1	175	3.0340	620,136
282	APEXTANRY	70.9	74.2	70	70.9	72.1	-1.2	246	2.9950	41,716
283	SINGERBD	118.9	121.9	117.8	118.6	121	-2.1	231	2.9520	24,809
284	SAIHAMTEX	14.1	14.4	14.1	14.1	14.1	0	196	2.9460	207,679
285	PHENIXINS	26.7	26.7	25.2	26.5	25.1	1.6	124	2.9060	111,582
286	UNITEDINS	38.1	38.4	37.1	38.1	37.2	0.9	164	2.8800	75,810
287	SAIFPOWER	7.6	7.7	7.5	7.6	7.6	0	162	2.8730	378,374
288	PHOENIXFIN	3.9	4.1	3.7	3.9	3.8	0.1	101	2.8510	723,462
289	REPUBLIC	28.1	28.3	27.2	28.1	27.3	0.8	172	2.8190	100,616
290	FAREASTFIN	3.8	3.8	3.5	3.8	3.5	0.3	118	2.6980	738,746
291	GREENDELMF	4.1	4.2	4.1	4.1	4.1	0	35	2.6450	643,630
292	SHARPIND	18.4	18.4	18.1	18.3	18.2	0.2	157	2.6380	144,276
293	GENNEXT	2.8	2.8	2.6	2.7	2.7	0.1	138	2.5870	955,942
294	NFML	10.7	11.7	10.7	10.8	11.2	-0.5	195	2.5630	235,424
295	CAPMBDBLMF	9.5	9.6	9.1	9.5	9.5	0	177	2.5610	276,155
296	UNIONCAP	5.4	5.5	5.2	5.4	5.2	0.2	124	2.5590	474,361
297	1JANATAMF	3.5	3.6	3.5	3.5	3.6	-0.1	79	2.4800	696,330
298	FASFIN	3.1	3.1	2.9	3.1	2.9	0.2	113	2.3690	794,328
299	ZAHEENSPIN	6.9	7.1	6.9	6.9	6.9	0	127	2.2450	322,805
300	DESCO	25.5	25.7	25	25.5	25.4	0.1	111	2.2130	87,061
301	MIDASFIN	8.4	8.4	7.7	8.4	7.8	0.6	185	2.1530	264,220
302	UTTARAFIN	17.4	17.4	17.4	17.4	15.9	1.5	87	2.1500	123,554
303	BAYLEASING	5.1	5.3	5	5.1	5	0.1	181	2.1240	412,644
304	DBH1STMF	6.2	6.2	6	6.2	6.1	0.1	102	2.0850	339,636
305	PRAGATIINS	50.8	52.9	50	50.8	50.5	0.3	114	2.0670	40,529
306	PRIME1ICBA	5.3	5.5	5.2	5.3	5.3	0	98	2.0600	386,523
307	FBFIF	3.6	3.7	3.5	3.6	3.6	0	67	2.0440	567,278
308	ECABLES	119.4	125	118	119.4	119.5	-0.1	196	2.0220	16,794
309	UNIONBANK	3	3.1	3	3.1	3	0	245	1.9500	645,652
310	RANFOUNDRY	153.4	154.9	153	153.4	155.6	-2.2	123	1.8650	12,117
311	NORTHRNINS	30	30.3	28.2	30	28.1	1.9	178	1.8000	60,721
312	ALIF	6	6	5.9	6	6	0	103	1.7920	301,352
313	FAREASTLIF	29	29.5	27.9	29	28.1	0.9	165	1.7720	61,783
314	GSPFINANCE	5.4	5.4	5.1	5.4	5.1	0.3	134	1.7620	334,764
